40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
40N||8||30||2310	Y estaba léjos de ellos un hato de muchos puercos paciendo. 
40N||8||31||2320	Y los demonios le rogaron, diciendo: Si nos echas, permítenos ir á aquel hato de puercos. 
40N||8||32||2330	Y les dijo: Id. Y ellos salieron, y se fueron á aquel hato de puercos: y hé aquí, todo el hato de los puercos se precipitó de un despeñadero en la mar, y murieron en las aguas. 
40N||8||33||2340	Y los porqueros huyeron, y viniendo á la ciudad contaron todas las cosas, y lo que habia pasado con los endemoniados. 
40N||8||34||2350	Y hé aquí toda la ciudad salió á encontrar á Jesus: y cuando le vieron, le rogaban que saliese de sus términos.
40N||9||1||2360	ENTÓNCES entrando en el barco,  pasó á la otra parte, y vino á su ciudad.
40N||9||2||2370	Y hé aquí le trajeron un paralítico echado en una cama: y viendo Jesus la fé de ellos, dijo al paralítico: Confia hijo: tus pecados te son perdonados.
40N||9||3||2380	Y hé aquí algunos de los escribas decian dentro de sí: Este blasfema.
40N||9||4||2390	Y viendo Jesus sus pensamientos, dijo: ¿Por qué pensais mal en vuestros corazones?
40N||9||5||2400	Porque, ¿Qué es más fácil, decir: los pecados te son perdonados: O decir: Levántate, y anda?
40N||9||6||2410	Pues para que sepais que el Hijo del hombre tiene potestad en la tierra de perdonar pecados, (dice entónces al paralítico): Levántate, toma tu cama, y vete á tu casa.
40N||9||7||2420	Entónces él se levantó, y se fué á su casa.
40N||9||8||2430	Y las gentes viéndo[lo], se maravillaron, y glorificaron á Dios, que habia dado tal potestad á los hombres.
40N||9||9||2440	Y pasando Jesus de allí, vió á un hombre, que estaba sentado al banco de los públicos tributos el cual se llamaba Mateo; y dícele: Sígueme. Y se levantó, y le siguió. 
40N||9||10||2450	Y aconteció que estando él sentado á la mesa en casa, hé aquí que muchos publicanos y pecadores, que habian venido, se sentaron juntamente á la mesa con Jesus y sus discípulos. 
40N||9||11||2460	Y viendo [esto] los Fariséos, dijeron á sus discípulos: ¿Por que come vuestro Maestro con los publicanos y pecadores, 
40N||9||12||2470	Y oyéndolo Jesus les dijo: los que están sanos, no tienen necesidad de médico, sino los enfermos. 
40N||9||13||2480	Andad pues, y aprended qué cosa es, Misericordia quiero, y no sacrificio: Porque no he venido á llamar justos, sino pecadores á arrepentimiento. 
40N||9||14||2490	Entónces los discípulos de Juan vienen á él, diciendo: ¿Por qué nosotros y los Fariséos ayunamos muchas veces, y tus discípulos no ayunan? 
40N||9||15||2500	Y Jesus les dijo: ¿Pueden los que son de bodas tener luto entre tanto que el Esposo está con ellos? mas vendrán dias, cuando el Esposo será quitado de ellos, y entónces ayunarán. 
40N||9||16||2510	Y nadie echa remiendo de paño recio en vestido viejo; porque el tal remiendo tira del vestido, y se hace peor la rotura. 
40N||9||17||2520	Ni echan vino nuevo en cueros viejos: de otra manera los cueros se rompen, y el vino se derrama, y se pierden los cueros: mas echan el vino nuevo en cueros nuevos, y lo uno y lo otro se conserva juntamente. 
40N||9||18||2530	Hablando él estas cosas á ellos, hé aquí vino un principal, y le adoraba, diciendo: Mi hija es muerta poco há: mas ven, y pon tu mano sobre ella, y vivirá. 
40N||9||19||2540	Y se levantó Jesus, y le siguió, y sus discípulos. 
40N||9||20||2550	Y hé aquí una mujer enferma de flujo de sangre doce años habia, llegándose por detrás, tocó la franja de su vestido: 
40N||9||21||2560	Porque decia entre sí: Si tocare solamente su vestido, seré salva. 
40N||9||22||2570	Mas Jesus volviéndose, y mirándola, dijo: Confia, hija, tu fé te ha salvado. Y la mujer fué salva desde aquella hora. 
40N||9||23||2580	Y llegado Jesus á casa del principal, viendo los tañedores de flautas, y la gente que hacia bullicio, 
40N||9||24||2590	Díceles: Apartáos, que la muchacha no es muerta, mas duerme. Y se burlaban de él. 
40N||9||25||2600	Y como la gente fué echada fuera, entró, y tomóla de la mano, y se levantó la muchacha. 
40N||9||26||2610	Y salió esta fama por toda aquella tierra. 
40N||9||27||2620	Y pasando Jesus de allí, le siguieron dos ciegos dando voces, y diciendo: Ten misericordia de nosotros, Hijo de David. 
40N||9||28||2630	Y llegado á la casa, vinieron á él los ciegos; y Jesus les dice: ¿Creeis que puedo hacer esto? Ellos dicen: Sí, Señor. 
40N||9||29||2640	Entónces tocó los ojos de ellos, diciendo: Conforme á vuestra fé os sea hecho. 
40N||9||30||2650	Y los ojos de ellos fueron abiertos. Y Jesus les encargó rigurosamente, diciendo: Mirad [que] nadie [lo] sepa. 
40N||9||31||2660	Mas ellos salidos, divulgaron su fama por toda aquella tierra. 
40N||9||32||2670	Y saliendo ellos, hé aquí le trajeron un hombre mudo endemoniado. 
40N||9||33||2680	Y echado fuera el demonio, el mudo hablo: y las gentes se maravillaron diciendo: Nunca ha sido vista cosa semejante en Israel. 
40N||9||34||2690	Mas los Fariséos decian: Por el príncipe de los demonios echa fuera los demonios. 
40N||9||35||2700	Y rodeaba Jesus por todas las ciudades y aldéas, enseñando en las sinagogas de ellos, y predicando el Evangelio del reino, y sanando toda enfermedad y todo achaque en el pueblo. 
40N||9||36||2710	Y viendo las gentes, tuvo compasion de ellas; porque estaban derramadas y esparcidas, como ovejas que no tienen pastor. 
40N||9||37||2720	Entónces dice á sus discípulos: A la verdad la mies [es] mucha, mas los obreros pocos. 
40N||9||38||2730	Rogad pues al Señor de la mies, que envie obreros para su mies.
40N||10||1||2740	Entónces llamando sus doce discípulos, les dió potestad contra los espíritus inmundos, para que los echasen fuera, y sanasen toda enfermedad y toda dolencia.
40N||10||2||2750	Y los nombres de los doce apóstoles son estos: el primero, Simon, que es dicho Pedro, y Andrés su hermano; Jacobo [hijo] de Zebedéo, y Juan su hermano:
40N||10||3||2760	Felipe, y Bartolomé; Tomás, y Mateo el publicano: Jacobo [hijo] de Alféo, y Lebéo, por sobrenombre Tadéo:
40N||10||4||2770	Simon el Cananita, y Júdas Iscariote, que tambien le entregó.
40N||10||5||2780	Estos doce envió Jesús, á los cuales dió mandamiento diciendo: Por el camino de los Gentiles no ireis, y en ciudad de Samaritanos no entreis:
40N||10||6||2790	Mas id ántes á las ovejas perdidas de la casa de Israel.
40N||10||7||2800	Y yendo, predicad, diciendo: El reino de los cielos se ha acercado.
40N||10||8||2810	Sanad enfermos, limpiad leprosos, resucitad muertos, echad fuera demonios: de gracia recibísteis, dad de gracia.
40N||10||9||2820	No apresteis oro, ni plata, ni cobre, en vuestras bolsas; 
40N||10||10||2830	Ni alforja para el camino, ni dos ropas de vestir, ni zapatos, ni bordon; porque el obrero digno es de su alimento. 
40N||10||11||2840	Mas en cualquier ciudad, ó aldéa donde entrareis, investigad quién sea en ella digno, y reposad allí hasta que salgais. 
40N||10||12||2850	Y entrando en la casa, saludadla. 
40N||10||13||2860	Y si la casa fuere digna, vuestra paz vendrá sobre ella: mas si no fuere digna, vuestra paz se volverá á vosotros. 
40N||10||14||2870	Y cualquiera que no os recibiere, ni oyere vuestras palabras, salid de aquella casa, ó ciudad, y sacudid el polvo de vuestros piés. 
40N||10||15||2880	De cierto os digo, [que el castigo] será mas tolerable á la tierra de los de Sodoma, y de los de Gomorra en el dia del juicio, que á aquella ciudad. 
40N||10||16||2890	Hé aquí, yo os envío como á ovejas en medio de lobos: sed pues prudentes como serpientes, y sencillos como palomas. 
40N||10||17||2900	Y guardáos de los hombres: porque os entregarán en concilios, y en sus sinagogas os azotarán. 
40N||10||18||2910	Y aun á príncipes y á reyes seréis llevados por causa de mí, por testimonio á ellos y á los Gentiles. 
40N||10||19||2920	Mas cuando os entregaren, no os apureis por como ó qué hablaréis: porque en aquella hora os será dado qué habeis de hablar. 
40N||10||20||2930	Porque no sois vosotros los que hablais, sino el Espíritu de vuestro Padre que habla en vosotros. 
40N||10||21||2940	Y el hermano entregará al hermano á la muerte, y el padre al hijo: y los hijos se levantarán contra los padres, y los harán morir. 
40N||10||22||2950	Y seréis aborrecidos de todos por mi nombre: mas el que soportare hasta el fin, éste sera salvo. 
40N||10||23||2960	Mas cuando os persiguieren en esta ciudad, huid á la otra: porque de cierto os digo, [que] no acabaréis de andar todas las ciudades de Israel, que no venga el Hijo del hombre. 
40N||10||24||2970	El discípulo no es más que su Maestro, ni el siervo mas que su Señor. 
40N||10||25||2980	Bástale al discípulo ser como su Maestro, y al siervo como su Señor: si al [mismo] Padre de la familia llamaron Beelzebub, ¿cuánto mas á los de su casa?^ 
40N||10||26||2990	Así que no los temais: porque nada hay encubierto, que no haya de ser manifestado; ni oculto, que no haya de saberse. 
40N||10||27||3000	Lo que os digo en tinieblas, decidlo en la luz: y lo que oís al oido, predicadlo desde los terrados. 
40N||10||28||3010	Y no temais á los que matan el cuerpo, mas al alma no pueden matar: temed ántes á aquel que puede destruir el alma y el cuerpo en el infierno. 
40N||10||29||3020	¿No se venden dos pajarillos por un cuarto? Con todo ni uno de ellos cae á tierra sin vuestro Padre. 
40N||10||30||3030	Pues aun vuestros cabellos están todos contados. 
40N||10||31||3040	Así que no temais: más valeis vosotros que muchos pajarillos. 
40N||10||32||3050	Cualquiera pues que me confesare delante de los hombres, le confesaré yo  tambien delante de mi Padre, que [está] en los cielos. 
40N||10||33||3060	Y cualquiera que me negare delante de los hombres, le negaré yo tambien delante de mi Padre, que [está] en los cielos. 
40N||10||34||3070	No penseis que he venido para meter paz en la tierra: no he venido para meter paz, sino espada. 
40N||10||35||3080	Porque he venido para hacer disension del hombre contra su padre, y de la hija contra su madre, y de la nuera contra su suegra. 
40N||10||36||3090	Y los enemigos del hombre, los de su casa. 
40N||10||37||3100	El que ama padre ó madre mas que á mí, no es digno de mí: y el que ama hijo ó hija más que á mí, no es digno de mí. 
40N||10||38||3110	Y el que no toma su cruz, y sigue en pos de mí, no es digno de mí. 
40N||10||39||3120	El que hallare su vida, la perderá: y el que perdiere su vida por causa de mí, la hallará. 
40N||10||40||3130	El que os recibe á vosotros, á mí recibe; y el que á mí recibe, recibe al que me envió. 
40N||10||41||3140	El que recibe profeta en nombre de profeta, merced de profeta recibirá: y el que recibe justo en nombre de justo, merced de justo recibirá. 
40N||10||42||3150	Y cualquiera que diere á uno de estos pequeñitos un vaso de [agua] fria solamente, en nombre de discípulo, de cierto os digo, [que] no perderá su recompensa.
40N||11||1||3160	Y FUÉ, que acabando Jesus de dar  mandamientos á sus doce discípulos, se fué de allí á enseñar y á predicar en las ciudades de ellos.
40N||11||2||3170	Y oyendo Juan en la prision los hechos de Cristo, le envió dos de sus discípulos,
40N||11||3||3180	Diciendo: ¿Eres tú aquel que habia de venir, ó esperarémos á otro?
40N||11||4||3190	Y respondiendo Jesus, les dijo: Id, y haced saber á Juan las cosas que oís y veis.
40N||11||5||3200	Los ciegos ven, y los cojos andan; los leprosos son limpiados, y los sordos oyen; los muertos son resucitados, y á los pobres es anunciado el Evangelio.
40N||11||6||3210	Y bienaventurado es el que no fuere escandalizado en mí.
40N||11||7||3220	E idos ellos, comenzó Jesus á decir de Juan á las gentes: ¿Qué salisteis á ver al desierto? ¿una caña que es meneada del viento?
40N||11||8||3230	Mas ¿qué salísteis á ver? ¿un hombre cubierto de delicados vestido? Hé aquí, los que traen [vestidos] delicados, en las casas de los reyes están.
40N||11||9||3240	Mas ¿qué salisteis á ver? ¿un profeta? tambien os digo, y más que profeta. 
40N||11||10||3250	Porque este es de quien está escrito: Hé aquí yo envio mi mensajero delante de tu faz, que aparejará tu camino delante de tí. 
40N||11||11||3260	De cierto os digo, [que] no se levantó entre los que nacen de mujeres otro mayor que Juan el Bautista: mas el que es muy más pequeño en el reino de los cielos, mayor es que él. 
40N||11||12||3270	Desde los dias de Juan el Bautista hasta ahora, al reino de los cielos se hace fuerza, y los valientes le arrebatan. 
40N||11||13||3280	Porque todos los profetas y la ley hasta Juan profetizaron. 
40N||11||14||3290	Y si quereis recibir, él es aquel Elías que habia de venir. 
40N||11||15||3300	El que tiene oidos para oir, oiga. 
40N||11||16||3310	Mas ¿á quién compararé esta generacion? Es semejante á los muchachos que se sientan en las plazas, y dan voces á sus compañeros, 
40N||11||17||3320	Y dicen: Os tañimos flauta, y no bailásteis; os endechamos, y no lamentásteis. 
40N||11||18||3330	Porque vino Juan, que ni comia ni bebia, y dicen: Demonio tiene. 
40N||11||19||3340	Vino el Hijo del hombre, que come y bebe; y dicen: Hé aquí un hombre comilon, y bebedor de vino, amigo de publicanos y de pecadores. Mas la sabiduría es justificada por sus hijos. 
40N||11||20||3350	Entónces comenzó á reconvenir á las ciudades en las cuales habian sido hechas muy muchas de sus maravillas, porque no se habian arrepentido, [diciendo:] 
40N||11||21||3360	¡Ay de tí, Corazin! ¡Ay de tí, Bethsaida! porque si en Tiro y en Sidon fueran hechas las maravillas que han sido hechas en vosotras, en otro tiempo se hubieran arrepentido en saco y en ceniza. 
40N||11||22||3370	Por tanto os digo, [que] á Tiro y á Sidon será más tolerable [el castigo] en el dia del juicio, que á vosotras. 
40N||11||23||3380	Y tú, Capernaum, que eres levantada hasta el cielo, hasta los infiernos serás abajada: porque si en los de Sodoma fueran hechas las maravillas que han sido hechas en tí, hubieran quedado hasta el dia de hoy. 
40N||11||24||3390	Por tanto os digo, [que] á la tierra de los de Sodoma será más tolerable [el castigo] en el dia del juicio, que á tí. 
40N||11||25||3400	En aquel tiempo, respondiendo Jesus, dijo: Te alabo, Padre, Señor del cielo y de la tierra, que hayas escondido estas cosas de los sabios y de los entendidos, y las hayas revelado á los niños. 
40N||11||26||3410	Así, Padre, pues que así agradó en tus ojos. 
40N||11||27||3420	Todas las cosas me son entregadas de mi Padre: y nadie conoció al Hijo, sino el Padre: ni al Padre conoció alguno, sino el Hijo, y [aquel] á quien el Hijo [lo] quisiere revelar. 
40N||11||28||3430	Venid á mí todos los que estais trabajados, y cargados, que yo os haré descansar. 
40N||11||29||3440	Llevad mi yugo sobre vosotros, y aprended de mí; que soy manso y humilde de corazon; y hallaréis descanso para vuestras almas. 
